station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
GUAM INTL AP,GU,13.4836,144.7961,77.4,20170312,71.06,87.08,80.06,4.47388,360,21.027236,0,0,0
ROOSEVELT ROADS,PR,18.255,-65.6408,10.1,20170404,77,86,,8.94776,360,23.040482,,,0
ROOSEVELT ROADS,PR,18.255,-65.6408,10.1,20170420,,,,8.500372,360,21.922012,,,0
SAN JUAN L M MARIN AP,PR,18.4325,-66.0108,2.7,20170120,69.08,82.04,,3.35541,360,17.000744,0,0,0
SAN JUAN L M MARIN AP,PR,18.4325,-66.0108,2.7,20170217,73.04,87.08,,4.697574,360,19.908766,0,0,0
SAN JUAN L M MARIN AP,PR,18.4325,-66.0108,2.7,20170329,73.04,84.02,,5.816044,360,21.922012,0,0,0
SAN JUAN L M MARIN AP,PR,18.4325,-66.0108,2.7,20170414,75.02,84.92,,3.802798,360,19.908766,0,0,0.03149608
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170207,-0.76,22.1,13.64,3.802798,360,14.092722,0.1181103,22.047256,0
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170330,37.04,53.96,44.24,4.026492,360,19.908766,0,0,0.07086618
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170622,35.96,73.04,59.72,3.579104,360,19.01399,0,0,0
KALISPELL GLACIER AP,MT,48.3042,-114.2636,901.3,20170725,53.06,87.08,71.6,6.039738,360,21.922012,0,0,0
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170129,26.24,64.94,,13.197946,360,31.093466,0,0,0
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170214,21.2,53.06,,9.618842,360,31.093466,0,0,0
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170329,33.08,48.92,,14.316416,360,35.119958,0,0,0.01968505
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170425,42.98,60.08,,12.30317,360,34.001488,0,0,0.29921276
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170503,32,60.98,,11.855782,360,36.90951,0,0,0.05118113
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170523,41,66.02,,12.526864,360,34.001488,0,0,0
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170527,51.08,75.02,,10.737312,360,48.988986,0,0,0.03149608
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170621,71.96,104,,9.618842,360,46.97574,0,0,0
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170626,60.98,91.04,,6.487126,360,23.040482,0,0,0
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170721,62.06,102.02,,7.82929,360,36.90951,0,0,0
LAMAR MUNI AP,CO,38.07,-102.6881,1129,20170901,55.04,91.94,,5.368656,360,23.040482,0,0,0
RIFLE GARFIELD CO AP,CO,39.5264,-107.7264,1685.5,20170403,28.22,51.98,,3.802798,360,29.974996,,,0
RIFLE GARFIELD CO AP,CO,39.5264,-107.7264,1685.5,20170503,31.1,69.98,,3.131716,360,23.040482,,,0
RIFLE GARFIELD CO AP,CO,39.5264,-107.7264,1685.5,20170704,55.04,96.08,,4.697574,360,23.040482,,,0
RIFLE GARFIELD CO AP,CO,39.5264,-107.7264,1685.5,20170805,59,87.98,,7.82929,360,35.119958,,,0.11023628
RIFLE GARFIELD CO AP,CO,39.5264,-107.7264,1685.5,20170912,53.96,87.08,,5.368656,360,27.066974,,,0
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,20170105,-1.84,5.18,3.56,4.921268,360,10.961006,2.5984266,3.93701,0.24015761
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,20170329,33.98,57.02,41.36,12.750558,360,29.974996,0,0,0.0393701
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,20170429,29.12,31.1,30.2,16.105968,360,29.974996,2.4015761,1.181103,0.22047256
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,20170523,41,62.96,48.74,11.1847,360,34.001488,0,0,0
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,20170703,53.06,91.94,73.22,9.618842,360,40.936002,0,0,0
DENVER INTL AP,CO,39.8328,-104.6575,1650.2,20170712,62.96,82.04,76.1,9.395148,360,25.948504,0,0,0.01181103
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170115,32,33.08,,6.71082,360,21.027236,,0,0.83858313
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170121,42.08,59,,9.395148,360,38.02798,0,0,0.46063017
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170122,35.96,55.94,,11.855782,360,38.02798,,0,0.05118113
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170224,27.14,46.94,,11.632088,360,29.08022,0,0,0
BORGER HUTCHINSON CO AP,TX,35.695,-101.395,930.9,20170301,27.14,55.94,,7.381902,360,23.935258,0,0,0
